title,description,ms.service
 下载 Azure SDK for PHP, 了解如何下载和安装 Azure SDK for PHP。, app-service-web
NA,NA,NA
 如何安装和配置 Azure PowerShell, 了解如何安装和配置 Azure PowerShell。, multiple
 安装 Python 和 SDK - Azure, 了解如何安装 Python 和 SDK 以与 Azure 一起使用。, multiple
 工具与 API 参考, 本文主要提供工具与 API 参考链接, multiple
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
 服务管理模式下的 Azure CLI 命令 | Azure, 在服务管理模式下使用 Azure 命令行界面 (CLI) 命令管理经典部署模型中的部署, multiple
 使用 Visual Studio 访问私有 Azure 云 | Azure, 了解如何通过使用 Visual Studio 访问私有云资源。, multiple
 使用 Visual Studio 创建 Azure 云服务项目 | Microsoft Docs, 了解如何使用 Visual Studio 创建 Azure 云服务项目, multiple
 使用 Visual Studio 管理 Azure 云服务中的角色 | Microsoft Docs, 了解如何使用 Visual Studio 在 Azure 云服务中添加和删除角色。, multiple
 准备从 Visual Studio 发布或部署 Azure 应用程序 | Azure, 了解设置云服务和存储帐户服务以及配置 Azure 应用程序的过程。, multiple
 如何为 Azure 云服务保留固定的虚拟 IP 地址 | Microsoft Docs, 了解如何确保 Azure 云服务的虚拟 IP 地址 (VIP) 不更改。, multiple
 为 Azure 构建的命令行 | Microsoft Docs, 为 Azure 构建的命令行, multiple
 使用 Visual Studio 配置 Azure 云服务的角色 | Microsoft Docs, 了解如何使用 Visual Studio 设置和配置 Azure 云服务的角色。, multiple
 使用 Visual Studio 配置 Azure 云服务项目 | Microsoft Docs, 了解如何根据你对该项目的要求在 Visual Studio 中配置 Azure 云服务项目。, multiple
 在 Visual Studio 中使用连接服务添加 Azure Active Directory | Microsoft Docs, 使用 Visual Studio 中的“添加连接服务”对话框添加 Azure Active Directory, active-directory
 在 Visual Studio 中使用连接服务添加 Azure 存储 | Microsoft Docs, 使用 Visual Studio 的“添加连接服务”对话框将 Azure 存储添加到您的应用, storage
 在 Visual Studio 中调试 Azure 云服务或虚拟机 | Azure, 在 Visual Studio 中调试云服务或虚拟机, visual-studio-online
 调试 Azure 云服务的选项 | Azure, 调试 Azure 云服务, visual-studio-online
 为 Azure 云服务和虚拟机配置诊断 | Azure, 介绍如何在 Visual Studio 中配置诊断信息以用于调试 Azure 云服务和虚拟机 (VM)。, multiple
 在本地 Docker 容器中调试应用 | Azure, 了解如何通过编辑和刷新以及设置调试断点功能来修改本地 Docker 容器中运行的应用以及刷新容器, multiple
 使用 VirtualBox 配置 Docker 主机 | Azure, 使用 Docker 计算机和 VirtualBox 配置默认 Docker 实例的逐步说明, multiple
 使用 Visual Studio 对 Windows 排查 Docker 客户端错误 | Azure, 在 Windows 上通过使用 Visual Studio 排查在使用 Visual Studio 创建 Web 应用并将其部署到 Docker 时遇到的问题。, multiple
 使用 Emulator Express 在本地计算机上运行和调试 Azure 云服务 | Microsoft Docs, 使用 Emulator Express 在本地计算机上运行和调试云服务, visual-studio-online
 如何通过 Visual Studio 将 Web 应用程序迁移和发布到 Azure 云服务 | Azure, 了解如何使用 Visual Studio 将 Web 应用程序迁移和发布到 Azure 云服务。, multiple
 使用多种服务配置来配置 Azure 项目 | Azure, 了解如何通过更改 ServiceDefinition.csdef 和 ServiceConfiguration.cscfg 文件来配置 Azure 云服务项目。, multiple
 在 Visual Studio 中优化 Azure 代码 | Azure, 了解 Visual Studio 中的 Azure 代码优化工具如何帮助你提高代码的可靠性和性能。, multiple
 测试云服务的性能 | Azure, 使用 Visual Studio 探查器测试云服务的性能, visual-studio-online
 使用 Visual Studio“发布 Azure 应用程序”向导 | Microsoft Docs, 了解如何在 Visual Studio“发布 Azure 应用程序”向导中配置各种设置, multiple
 Publish-WebApplicationVM | Azure, 了解如何将 Web 应用程序部署到虚拟机。如果资源不存在，此脚本会在 Azure 订阅中创建所需的资源。, multiple
 Publish-WebApplicationWebSite（Windows PowerShell 脚本）| Azure, 了解如何将 Web 项目发布到 Azure 网站。如果资源不存在，此脚本会在 Azure 订阅中创建所需的资源。, multiple
 使用 Azure Tools 发布云服务 | Azure, 了解如何使用 Visual Studio 发布 Azure 云服务项目。, multiple
 使用 Windows PowerShell 脚本发布到开发和测试环境 | Azure, 了解如何使用 Windows PowerShell 脚本通过 Visual Studio 发布到开发和测试环境。, multiple
 对 Azure 角色使用远程桌面 | Azure, 将远程桌面与 Azure 角色一起使用, multiple
 使用 Azure 资源组项目在 VS Team Services 中连续集成 | Azure, 介绍如何在 Visual Studio 中使用 Azure 资源组部署项目在 Visual Studio Team Services 中连续集成。, azure-resource-manager
NA,NA,NA
 使用 Cloud Explorer 管理 Azure 资源 | Microsoft Docs, 了解如何使用云资源管理器来浏览和管理 Visual Studio 中的 Azure 资源。, multiple
 如何管理服务配置和配置文件 | Azure, 了解如何使用服务配置和配置文件，这两种配置文件将存储云服务的部署环境设置和发布设置。, multiple
 设置命名的身份验证凭据 | Azure, 了解如何提供 Visual Studio 可用于验证对 Azure 的请求的凭据，以便从 Visual Studio 将应用程序发布到 Azure 或者监视现有云服务。, multiple
 在 Visual Studio 中配置和使用存储模拟器 | Azure, 在 Visual Studio 中配置和使用存储模拟器, storage
 使用存储资源管理器（预览版）管理 Azure Blob 存储资源 | Azure, 使用存储资源管理器（预览版）管理 Azure Blob 容器和 Blob, storage
 将存储资源管理器（预览版）与 Azure 文件存储配合使用 | Microsoft 文档, 了解如何使用存储资源管理器（预览版）来处理文件共享和文件。, storage
 Azure 存储资源管理器 0.8.7（预览版）| Azure, Azure 存储资源管理器 0.8.7（预览版）的发行说明, storage
 存储资源管理器（预览版）入门 | Microsoft Docs, 使用存储空间资源管理器（预览版）管理 Azure 存储资源, storage
 使用服务器资源管理器浏览和管理存储资源 | Microsoft Docs, 使用服务器资源管理器浏览和管理存储资源, storage
 为表设计器构造筛选字符串 | Azure, 为表设计器构造筛选字符串, storage
 如何将项目升级到最新版本的 Azure Tools | Azure, 了解如何在 Visual Studio 中将 Azure 项目升级到最新版本的 Azure Tools, multiple
 从服务器资源管理器访问 Azure 虚拟机 | Azure, 概述如何在 Visual Studio 的服务器资源管理器中查看、创建和管理 Azure 虚拟机 (VM)。, multiple
NA,NA,NA
 通过 CLI 登录到 Azure | Azure, 从适用于 Mac、Linux 和 Windows 的 Azure 命令行界面 (Azure CLI) 连接到 Azure 订阅, multiple
 安装 Azure 命令行界面 | Azure, 安装适用于 Mac、Linux 和 Windows 的 Azure 命令行接口 (CLI) 即可使用 Azure 服务, multiple
 向 Azure Active Directory 中的登录页和访问面板页添加公司品牌, 了解如何在 Azure 登录页和访问面板页中添加公司品牌, active-directory
 将用户添加到 Azure Active Directory 中的自定义域 | Microsoft Docs, 如何使用用户帐户填充 Azure Active Directory 中的自定义域。, active-directory
 Azure Active Directory 中自定义域名的概念性概述 | Microsoft Docs, 介绍了在 Azure Active Directory 中使用自定义域名的概念性框架，其中包括用于实现单一登录的联盟, active-directory
 将自定义域名添加到 Azure Active Directory 并设置联合登录 | Microsoft Docs, 如何将公司域名添加到 Azure Active Directory，以及如何在 Azure Active Directory 与本地联合身份验证解决方案之间设置联合登录。, active-directory
 将自定义域名添加到 Azure Active Directory | Microsoft Docs, 如何将公司域名添加到 Azure Active Directory，以及如何验证域名。, active-directory
 管理 Azure Active Directory 中的自定义域名 | Microsoft Docs, 用于管理 Azure Active Directory 中的自定义域的管理概念和操作指南, active-directory
 使用 Azure 流量管理器在 Azure 中部署高可用性跨地域 AD FS | Azure, 在本文档中，你将学习如何在 Azure 中部署 AD FS 以实现高可用性。, active-directory
 管理 Azure AD 目录 | Microsoft Docs, 介绍什么是 Azure AD 租户，以及如何通过 Azure Active Directory 管理 Azure。, active-directory
 配置或注册应用程序时出现问题, 配置或注册应用程序时出现问题, active-directory
 开发应用程序时出现问题, 开发应用程序时出现问题, active-directory
 排查 Azure Active Directory 应用程序开发问题 | Microsoft Docs, 解决与 Azure Active Directory 应用程序开发相关的最常见问题, active-directory
 Azure AD 和应用程序：将用户分配到应用程序 | Azure, 如何为 Azure 应用程序实现用户分配。, active-directory
 为 Azure AD 开发应用 | Azure, 本文专门为 IT 专业人员编写，提供有关将 Azure 应用程序与 Active Directory 集成的指导。, active-directory
 要求进行用户分配 - Azure AD | Azure, 如何要求对 Azure 应用程序进行用户分配。, active-directory
 有关 Azure Active Directory 中应用程序管理的文章索引 | Azure, 了解如何自定义联合证书的过期日期，以及如何续订即将过期的证书。, active-directory
 Azure Active Directory 中的应用、权限和同意 | Azure, Azure AD Connect 会将本地目录与 Azure Active Directory 集成。这样便可以为集成到 Azure AD 的 Office 365、Azure 和 SaaS 应用程序提供一个通用标识。, active-directory
 Azure Active Directory 的应用程序访问与单一登录是什么？| Azure, 使用 Azure Active Directory 启用单一登录，以访问完成业务所需的全部 SaaS 和 Web 应用程序。, active-directory
 了解 Azure Active Directory 体系结构 | Microsoft Docs, 介绍什么是 Azure AD 租户，以及如何通过 Azure Active Directory 管理 Azure。, active-directory
 在 Azure Active Directory 中分配管理员角色 | Microsoft Docs, 介绍 Azure Active Directory 提供的管理员角色，以及如何分配这些角色。, active-directory
 Android 上 Azure Active Directory 基于证书的身份验证 | Microsoft Docs, 了解 Android 设备的解决方案中配置基于证书的身份验证的支持方案和要求, active-directory
 Azure Active Directory 基于证书的身份验证 - 入门 | Microsoft Docs, 了解如何在环境中配置基于证书的身份验证, active-directory
 iOS 上 Azure Active Directory 基于证书的身份验证 | Microsoft Docs, 了解 iOS 设备的解决方案中配置基于证书的身份验证的支持方案和要求, active-directory
 Azure Active Directory 中可配置的令牌生存期 | Azure, 管理员和开发人员可以使用此功能指定 Azure AD 颁发的令牌的生存期。, active-directory
 在 Azure Active Directory 中添加来自其他目录或合作伙伴公司的用户 | Microsoft Docs, 介绍如何在 Azure Active Directory 中添加用户或更改用户信息，包括外部用户和来宾用户。, active-directory
 在 Azure Active Directory 中重置用户密码 | Microsoft Docs, 说明管理员应如何重置 Azure Active Directory 中用户的密码。, active-directory
 向 Azure Active Directory 添加新用户 | Microsoft Docs, 说明如何在 Azure Active Directory 中添加新用户或更改用户信息。, active-directory
 在 Azure 虚拟机中部署 Windows Server Active Directory 的准则 | Azure, 如果你知道如何在本地部署 AD 域服务和 AD 联合身份验证服务，则就了解这些服务在 Azure 虚拟机上的工作方式。, active-directory
 Azure Active Directory 版本 | Microsoft Docs, 本文介绍 Azure Active Directory 的免费版和付费版选项。 Azure Active Directory 基本版、Azure Active Directory Premium P1 和 Azure Active Directory Premium P2 是付费版本。, active-directory
 使用 Azure Active Directory 管理应用程序 | Microsoft 文档, 本文介绍将 Azure Active Directory 与本地、云和 SaaS 应用程序集成的好处。, active-directory
 Azure Active Directory 常见问题解答 | Microsoft Docs, “Azure Active Directory 常见问题”解答有关如何访问 Azure 和 Azure Active Directory、管理密码以及访问应用程序的问题。, active-directory
 更改 Office 365 信赖方信任的签名哈希算法 | Azure, 本页面提供有关更改 Office 365 联合身份验证信任 SHA 算法的指导, active-directory
 Azure 订阅与 Azure Active Directory 的关联方式 | Microsoft Docs, 登录 Azure 及相关问题（例如，Azure 订阅与 Azure Active Directory 之间的关系）。, active-directory
 在 Azure 中安装副本 Active Directory 域控制器 | Microsoft Docs, 本教程说明如何从 Azure 虚拟机上的本地 Active Directory 林安装域控制器。, virtual-network
 将 Azure AD 与应用集成入门 | Microsoft Docs, 本文是一篇入门指南，介绍如何将 Azure Active Directory (AD) 与本地应用程序和云应用程序集成。, active-directory
 在 Azure 中管理 Office 365 订阅的目录 | Microsoft Docs, 使用 Azure Active Directory 和 Azure 经典管理门户来管理 Office 365 订阅目录, active-directory
 在 Azure Active Directory 中管理密码 | Azure, 如何在 Azure Active Directory 中管理密码。, active-directory
 使用 Azure AD 管理对应用的访问 | Azure, 介绍 Azure Active Directory 如何使组织能够指定每个用户有权访问的应用。, active-directory
 在 Azure 虚拟网络中安装 Active Directory 林 | Microsoft 文档, 本教程介绍如何在 Azure 虚拟网络上的虚拟机 (VM) 中创建新的 Active Directory 林。, active-directory
 策略：Azure AD SSPR | Microsoft Docs, Azure AD 自助密码重置策略选项, active-directory
 在 Azure Active Directory 中设置密码过期策略 | Azure, 了解如何检查 Azure Active Directory 密码的过期策略，以及如何逐个或批量更改用户密码过期策略, active-directory
 Azure AD：重置密码 | Microsoft Docs, 使用自助密码重置重新获取工作帐户或学校帐户访问权限, active-directory
 Azure AD 自助服务密码重置概述 | Microsoft Docs, Azure AD 中的自助服务密码重置对组织有什么用处？, active-directory
 Azure Active Directory 概念证明操作手册：构建基块 | Microsoft Docs, 研究并快速实现标识和访问管理方案, active-directory
 Azure Active Directory PoC 演练手册的实现 | Microsoft Docs, 研究并快速实现标识和访问管理方案, active-directory
 Azure Active Directory PoC 演练手册成分 | Microsoft Docs, 研究并快速实现标识和访问管理方案, active-directory
 Azure Active Directory PoC 演练手册简介 | Microsoft Docs, 浏览并快速实现标识和访问管理方案, active-directory
 使用 SCIM 启用从 Azure Active Directory 到应用程序的用户和组自动预配 | Microsoft Docs, Azure Active Directory 可以使用 SCIM 协议规范中定义的接口，自动将用户和组预配到以 Web 服务为前端的任何应用程序或标识存储, active-directory
 什么是 Azure 的自助服务注册？ | Microsoft Docs, 概述 Azure 的自助注册、如何管理注册过程以及如何接管 DNS 域名。, active-directory
 Azure Active Directory 服务限制和局限性, Azure Active Directory 服务的使用限制和其他服务限制, active-directory
 使用 Azure AD 共享帐户 | Microsoft Docs, 介绍组织如何使用 Azure Active Directory 来安全共享本地应用和使用者云服务的帐户。, active-directory
 如何在 Azure AD 中管理联合证书 | Azure, 了解如何自定义联合证书的过期日期，以及如何续订即将过期的证书。, active-directory
 将 Azure Active Directory 单一登录与 SaaS 应用相集成 | Microsoft Docs, 为 Azure Active Directory 中的 SaaS 应用启用单一登录身份验证和用户设置集中式访问管理。 有关如何将 Azure Active Directory 集成到 SaaS 应用的概述。, active-directory
 'Troubleshooting, Azure 管理门户中未显示 Active Directory 菜单项时怎么办。, active-directory
 了解 Azure 中的资源访问权限 | Microsoft Docs, 本主题介绍有关使用订阅管理员在整个 Azure 门户中控制资源访问权限的概念, active-directory
 什么是 Azure Active Directory？, 使用 Azure Active Directory 将现有的本地标识扩展到云中，或开发 Azure AD 集成的应用程序。, active-directory
 应用程序许可工作原理 | Microsoft Docs, 详细了解 Azure AD 许可框架工作原理，确定如何在开发基于 Azure AD 的应用程序时使用它, active-directory
 如何识别委派权限和应用程序权限 | Microsoft Docs, 了解委派权限和应用程序权限、客户端如何使用这些权限，以及通过 Azure AD 开发的应用程序的资源如何公开这些权限, active-directory
 如何为给定 API 选择权限 | Microsoft Docs, 了解在开发应用程序时，如何针对客户端和资源应用程序进行权限请求, active-directory
 如何配置新的多租户应用程序 | Microsoft Docs, 如何为通过 Azure AD 进行开发和注册的自定义应用程序配置单一登录。, active-directory
 如何配置新的多租户应用程序 | Microsoft Docs, 了解如何将应用程序配置为多多租户应用程序，以及多租户应用程序的工作原理, active-directory
 Azure 标识 | Microsoft Docs, 了解如何使用 Azure Active Directory。, active-directory
 Azure 标识管理基础知识 | Microsoft Docs,, azure
 Action 和 NotAction - Azure RBAC 中的角色 | Microsoft Docs, 本主题介绍适用于基于角色的访问控制 (RBAC) 的内置角色。, active-directory
 访问报告 - Azure RBAC | Azure, 生成一个列出过去 90 天内使用基于角色的访问控制对 Azure 订阅的访问权限进行的所有更改的报告。, active-directory
 Azure 门户中基于角色的访问控制 | Microsoft Docs, 在 Azure 门户中使用基于角色的访问控制开始进行访问权限管理。 角色分配用于将权限分配给你的资源。, active-directory
 在 Azure 中创建自定义的基于角色的访问控制角色并将其分配给内部和外部用户 | Microsoft Docs, 为内部和外部用户分配使用 PowerShell 与 CLI 创建的自定义 RBAC 角色, active-directory
 为 Azure RBAC 创建自定义角色 | Microsoft Docs, 了解如何通过 Azure 基于角色的访问控制来定义自定义角色，以便在 Azure 订阅中进行更精确的身份管理。, active-directory
 使用 Azure CLI 管理基于角色的访问控制 (RBAC) | Azure, 通过列出角色和角色操作、将角色分配到订阅和应用程序范围来了解如何使用 Azure 命令行界面管理基于角色的访问控制 (RBAC)。, active-directory
 使用 Azure PowerShell 管理基于角色的访问控制 (RBAC) | Azure, 如何使用 Azure PowerShell 管理 RBAC，包括列出角色、分配角色和删除角色分配。, active-directory
 使用 REST 进行基于角色的访问控制 - Azure AD | Azure, 使用 REST API 管理基于角色的访问控制, active-directory
 Azure Resource Manager 提供程序操作 | Microsoft Docs, 可对 Azure Resource Manager 资源提供程序使用的操作的详细信息, active-directory
 租户管理员提升访问权限 - Azure AD | Azure, 本主题介绍适用于基于角色的访问控制 (RBAC) 的内置角色。, active-directory
 对 Azure RBAC 进行故障排除 | Azure, 获取有关基于角色的访问控制资源问题或疑问的帮助。, active-directory
 使用 RBAC 管理访问和权限 — Azure RBAC | Microsoft Docs, Azure 门户中具有 Azure 基于角色的访问控制的访问管理入门。 在目录中使用角色分配来分配权限。, active-directory
 以组织身份注册 Azure, 了解如何通过工作或学校帐户，来利用现有的用户帐户、策略、设置或已有的本地服务器部署，以及提高组织的本地标识基础结构与 Azure AD 之间的效率。, active-directory
 了解 Azure 标识 | Microsoft Docs, 大致了解 Azure 标识解决方案的术语、概念和建议，以便为组织做出最明智的标识监管决策。, azure
 Azure VM 上的 Windows Server Active Directory | Microsoft 文档, 你可以在 Azure 虚拟机上运行 Windows Server Active Directory 域服务 (AD DS) 或 Active Directory 联合身份验证服务 (AD FS)。, active-directory
 Azure AD Connect：帐户和权限 | Microsoft Docs, 本主题介绍使用和创建的帐户以及所需的权限。, active-directory
 Azure 中的 Active Directory 联合身份验证服务 | Azure, 在本文档中，你将学习如何在 Azure 中部署 AD FS 以实现高可用性。, active-directory
 Azure AD Connect：设计概念 | Azure, 本主题详细说明某些实现设计方面的问题, active-directory
 从 DirSync 和 Azure AD Sync 升级 | Microsoft Docs, 介绍如何从 DirSync 和 Azure AD Sync 升级到 Azure AD Connect。, active-directory
 Azure AD Connect：从 DirSync 升级 | Microsoft 文档, 了解如何从 DirSync 升级到 Azure AD Connect。 本文介绍从 DirSync 升级到 Azure AD Connect 的步骤。, active-directory
 Azure AD Connect：已具有 Azure AD 时 | Microsoft 文档, 本主题介绍当存在现有的 Azure AD 租户时如何使用 Connect。, active-directory
 Azure Active Directory Connect：常见问题 - Azure | Azure, 此页包含有关 Azure AD Connect 的常见问题。, active-directory
 Azure AD Connect：自动升级 | Azure, 本主题介绍 Azure AD Connect 同步中的内置自动升级功能。, active-directory
 Azure AD Connect：预览版功能 | Azure, 本主题详细介绍 Azure AD Connect 中以预览版形式提供的功能。, active-directory
 Azure AD 联合身份验证兼容性列表, 本页列出了可用于实现单一登录的非 Microsoft 标识提供程序。, active-directory
 使用 Azure AD Connect 进行 Active Directory 联合身份验证服务的管理和自定义 | Microsoft Docs, 使用 Azure AD Connect 管理 AD FS 并使用 Azure AD Connect 和 PowerShell 自定义用户的 AD FS 登录体验。, active-directory
 Azure AD Connect：自定义安装 | Microsoft 文档, 本文档详细介绍了 Azure AD Connect 的自定义安装选项。 使用本文中的说明来通过 Azure AD Connect 安装 Active Directory。, active-directory
 通过快速设置开始使用 Azure AD Connect | Microsoft 文档, 了解如何下载、安装和运行 Azure AD Connect 的设置向导。, active-directory
 Azure AD Connect：同步服务实例 | Azure, 本页记录了有关 Azure AD 实例的特殊注意事项。, active-directory
 Azure AD Connect 中的多个域, 本文档介绍如何使用 O365 与 Azure AD 来设置和配置多个顶级域。, active-directory
 Office 365 和 Azure AD 用户证书续订 | Azure, 本文向 Office 365 用户说明了如何解决向其发送证书续订通知的电子邮件的问题。, active-directory
 Azure AD Connect：直通身份验证 | Microsoft Docs, 本文介绍 Azure Active Directory (Azure AD) 直通身份验证，以及它如何针对本地 Active Directory 来验证用户密码，从而实现 Azure AD 登录。, active-directory
 混合标识所需的端口和协议 - Azure | Microsoft Docs, 此技术参考页面描述了需要为 Azure AD Connect 打开的端口, active-directory
 Azure AD Connect：先决条件和硬件 | Microsoft Docs, 本主题介绍 Azure AD Connect 的先决条件和硬件要求, active-directory
 Azure AD Connect：如何从 LocalDB 10 GB 的限制问题恢复 | Microsoft Docs, 本主题介绍在遇到 LocalDB 10 GB 限制问题时，如何恢复 Azure AD Connect Synchronization Service。, active-directory
 Azure AD Connect：选择安装类型 | Microsoft 文档, 本主题逐步讲解如何选择 Azure AD Connect 使用的安装类型, active-directory
 Azure AD Connect：无缝单一登录 | Microsoft Docs, 本主题介绍了 Azure Active Directory (Azure AD) 无缝单一登录，以及如何使用它来为企业网络中的企业桌面用户提供真正的单一登录。, active-directory
 Azure AD Connect：支持的拓扑 | Azure, 本主题详细说明 Azure AD Connect 的受支持和不受支持的拓扑, active-directory
 Azure AD Connect：排查连接问题 | Azure, 介绍如何使用 Azure AD Connect 排查连接问题。, active-directory
 Azure AD Connect：对直通身份验证进行故障排除 | Microsoft Docs, 本文介绍如何对 Azure Active Directory (Azure AD) 直通身份验证进行故障排除。, active-directory
 Azure AD Connect：无缝单一登录故障排除 | Microsoft Docs, 本主题介绍了如何排除 Azure Active Directory 无缝单一登录（Azure AD 无缝 SSO）故障。, active-directory
 Azure AD Connect：排查同步过程中发生的错误 | Azure, 介绍如何使用 Azure AD Connect 排查同步过程中遇到的错误。, active-directory
 Azure AD Connect：从旧版升级 | Azure, 介绍升级到 Azure Active Directory Connect 最新版本的不同方法，包括就地升级和交叉迁移。, active-directory
 Azure AD Connect：用户登录 | Microsoft Docs, Azure AD Connect 用户登录的自定义设置。, active-directory
 Azure AD Connect：版本发布历史记录 | Azure, 本主题列出 Azure AD Connect 和 Azure AD Sync 的所有版本, active-directory
 Azure AD Connect：后续步骤以及如何管理 Azure AD Connect | Azure, 了解如何扩展 Azure AD Connect 的默认配置和操作任务。, active-directory
 将 Active Directory 与 Azure Active Directory 连接。 | Microsoft 文档, Azure AD Connect 会将本地目录与 Azure Active Directory 集成。 这样便可以为集成到 Azure AD 的 Office 365、Azure 和 SaaS 应用程序提供一个通用标识。, active-directory
 联合多个 Azure AD 与单个 AD FS | Microsoft Docs, 本文档介绍如何联合多个 Azure AD 与单个 AD FS。, active-directory
 Azure AD Connect：更新 Active Directory 联合身份验证服务 (AD FS) 场的 SSL 证书 | Microsoft 文档, 本文档详述了使用 Azure AD Connect 更新 AD FS 场的 SSL 证书的步骤。, active-directory
 Azure AD Connect 和联合身份验证 | Microsoft Docs, 此页是与使用 Azure AD Connect 进行 AD FS 操作相关的所有文档的中央位置。, active-directory
 通过 Azure AD Connect 同步的属性 | Azure, 列出与 Azure Active Directory 同步的属性。, active-directory
 Azure AD Connect 同步：更改默认配置 | Azure, 提供有关更改 Azure AD Connect 同步的默认配置的最佳实践。, active-directory
