case.title,case.productName
虚拟机网络设置,Virtual Network
负载均衡,Virtual Network
虚拟机无法访问外网,Virtual Machine running Linux
虚拟网络设置,Virtual Network
VPN咨询,Virtual Network
VN部署咨询,Virtual Network
虚拟机无法访问,Virtual Machine running Windows
VPN联通问题,Virtual Network
VPN断开,Virtual Network
vm问题,Virtual Machine running Linux
虚拟机网络问题,Virtual Network
创建探测器提示失败。,Virtual Network
网络不通,Virtual Machine running Linux
负载均衡设置,Virtual Network
虚拟机设置,Virtual Machine running Windows
vm问题,Virtual Machine running Windows
虚拟机咨询,Virtual Machine running Windows
虚拟机咨询,Virtual Machine running Windows
vm部署咨询,Virtual Machine running Windows
虚拟机设置,Virtual Machine running Windows
网站无法打开,Virtual Machine running Windows
CDN问题,CDN
域名解析问题,Virtual Machine running Windows
升级配置,Virtual Machine running Windows
虚拟机问题,Virtual Machine running Windows
虚拟机设置,Virtual Machine running Windows
portal登录问题,Management portal
虚拟机问题咨询,Virtual Machine running Linux
虚拟机设置,Virtual Machine running Linux
CDN问题,CDN
虚拟机设置,Virtual Machine running Windows
VM创建问题,Virtual Machine running Linux
虚拟机问题,Virtual Machine running Windows
vm咨询,Virtual Machine running Windows
虚拟机无法远程,Virtual Machine running Windows
虚拟机设置,Virtual Machine running Linux
虚拟机无法连接,Virtual Machine running Windows
vm问题,Virtual Machine running Windows
如何创建虚拟机,Virtual Machine running Windows
虚拟机设置,Virtual Machine running Linux
虚拟机咨询,Virtual Machine running Linux
CDN问题,CDN
CDN设置,CDN
加速图片服务ICP审核,CDN
虚拟机相关咨询,Virtual Machine running Windows
虚拟机设置,Virtual Machine running Windows
创建虚拟机失败,Virtual Machine running Windows
服务器设置,Virtual Machine running Windows
CDN问题,CDN
Linux虚机临时磁盘里的数据丢失，是否可以找回？,Virtual Machine running Linux
如何创建虚拟机,Virtual Machine running Linux
磁盘扩容,Virtual Machine running Linux
CDN证书续期,CDN
创建虚拟机失败,Virtual Machine running Windows
虚拟机设置,Virtual Machine running Windows
备份问题,Recovery Service
vm问题,Virtual Machine running Linux
vm磁盘咨询,Virtual Machine running Windows
数据迁移咨询,Active Directory
如何创建虚拟机,Virtual Machine running Windows
虚拟机咨询,Virtual Machine running Windows
虚拟机问题咨询,Virtual Machine running Windows
vm问题,Virtual Machine running Windows
创建虚拟机指导,Virtual Machine running Windows
无法删除虚拟机,Virtual Machine running Linux
VM问题,Virtual Machine running Windows
vm创建问题,Virtual Machine running Windows
虚拟机设置,Web Apps
虚拟机设置,Virtual Machine running Windows
虚拟机磁盘问题,Virtual Machine running Linux
虚拟机问题咨询,Virtual Machine running Windows
虚拟机设置,Virtual Machine running Windows
无法新建虚拟机,Management portal
VM问题,Virtual Machine running Linux
无法新建虚拟机,Virtual Machine running Linux
备份保管库咨询,Virtual Machine running Windows
虚拟机问题咨询,Virtual Machine running Linux
vm备份咨询,Virtual Machine running Windows
数据迁移,Virtual Machine running Windows
虚拟机问题,Virtual Machine running Windows
虚拟机咨询,Virtual Machine running Windows
虚拟机备份咨询,Virtual Machine running Windows
虚拟机问题咨询,Virtual Machine running Windows
虚拟机创建问题,Virtual Machine running Windows
如何使用CDN,CDN
虚拟机无法连接,Virtual Machine running Windows
虚拟机咨询,Virtual Machine running Windows
域名变更,Virtual Machine running Windows
VM问题,Virtual Machine running Windows
vm磁盘问题,Virtual Machine running Linux
虚拟机设置,Virtual Machine running Windows
VM备份,Recovery Service
VM配置咨询,Virtual Machine running Linux
创建VM失败,Virtual Machine running Windows
虚拟机迁移,Virtual Machine running Linux
VM迁移问题,Virtual Machine running Windows
vm备份咨询,Virtual Machine running Windows
CDN咨询,CDN
虚拟机设置,Virtual Machine running Linux
负载均衡问题,Virtual Machine running Windows
磁盘扩容,Virtual Machine running Windows
虚拟机设置,Active Directory
VM问题,Virtual Machine running Windows
存储咨询,Storage
虚拟机配置问题,Virtual Machine running Windows
负载均衡问题,Virtual Machine running Windows
虚拟机迁移,Virtual Machine running Windows
虚拟机配置,Virtual Machine running Windows
渗透测试,Virtual Machine running Linux
虚拟机咨询,Virtual Machine running Windows
存储问题,Storage
虚拟机设置,Virtual Machine running Windows
虚拟机设置,Virtual Machine running Windows
无法创建VM,Compute
vm创建问题,Virtual Machine running Windows
渗透压力测试,Virtual Network
数据迁移咨询,Storage
虚机中搭建的网站访问没有权限,Virtual Machine running Windows
虚拟机创建问题,Virtual Machine running Linux
vm问题,Virtual Machine running Windows
虚拟机咨询,Virtual Machine running Windows
虚拟机配置,Virtual Machine running Windows
服务无法访问,Management portal
vm问题,Virtual Machine running Windows
vm创建问题,Virtual Machine running Windows
幫忙查詢是否有成功將資訊放上CDN做Purge,CDN
虚拟机设置,Virtual Machine running Windows
虚拟机删除,Virtual Machine running Linux
创建虚拟机指导,Virtual Machine running Windows
Azure 虚机和云服务计划维护通知,Virtual Machine running Windows
Linxu系统平台备份,Recovery Service
存储问题,Storage
VM创建问题,Virtual Machine running Windows
vm咨询,Virtual Machine running Linux
Azure AD咨询,Active Directory
虚拟机设置,Virtual Machine running Windows
vm创建问题,Virtual Machine running Linux
虚拟机咨询,Virtual Machine running Linux
渗透压力测试,Virtual Machine running Windows
数据迁移,Virtual Machine running Windows
VM问题,Virtual Machine running Windows
vm配置咨询,Virtual Machine running Windows
虚拟机咨询,Virtual Machine running Linux
CDN问题,CDN
虚拟机的迁移问题,Virtual Machine running Windows
VM问题,Virtual Machine running Windows
虚拟机迁移,Virtual Machine running Windows
导入导出咨询,Storage
session会话丢失,Application Gateway
虚拟机迁移,Virtual Machine running Windows
虚拟机配置,Virtual Machine running Windows
虚拟机设置,Virtual Machine running Windows
虚拟机问题咨询,Virtual Machine running Linux
虚拟机问题咨询,Virtual Machine running Windows
cdn问题,CDN
CDN配置咨询,CDN
存储咨询,Storage
创建虚拟机咨询,Virtual Machine running Linux
虚拟机配置问题,Virtual Machine running Linux
vm镜像咨询,Virtual Machine running Linux
虚拟机显示时间不对,Virtual Machine running Linux
CDN配置咨询,CDN
vm磁盘咨询,Virtual Machine running Linux
CDN配置问题咨询,CDN
CDN问题,CDN
VM配置咨询,Virtual Machine running Linux
vm咨询,Virtual Machine running Linux
计算机加入域报错,Active Directory
VM迁移问题,Virtual Machine running Windows
VM镜像问题,Virtual Machine running Linux
VM部署咨询,Virtual Machine running Windows
vm部署咨询,Virtual Machine running Windows
VM创建问题,Virtual Machine running Windows
虚拟机问题咨询,Virtual Machine running Windows
虚拟机迁移咨询,Virtual Machine running Windows
cdn问题,CDN
虚拟机迁移咨询,Virtual Machine running Windows
vm挂载磁盘咨询,Virtual Machine running Windows
压力测试申请,Virtual Machine running Windows
VM访问问题,Virtual Machine running Windows
创建虚拟机失败,Virtual Machine running Linux
虚拟机相关咨询,Virtual Machine running Windows
压力测试申请,Virtual Machine running Windows
vm咨询,Virtual Machine running Linux
新建虚拟机问题,Virtual Machine running Linux
备份服务咨询,Virtual Machine running Windows
CDN缓存咨询,CDN
门户设置,Management portal
虚拟机镜像问题,Virtual Machine running Windows
High availability,Virtual Machine running Windows
压力测试申请,Virtual Machine running Linux
备份保管库咨询,Virtual Machine running Windows
vm问题,Virtual Machine running Linux
备份咨询,Recovery Service
如何创建虚拟机,Virtual Machine running Linux
vm语言环境问题,Virtual Machine running Windows
无法创建VM,Virtual Machine running Windows
vm问题,Virtual Machine running Windows
虚拟机迁移咨询,Virtual Machine running Linux
创建VM,Virtual Machine running Linux
压力测试问题,Virtual Machine running Windows
CDN配置问题咨询,CDN
CDN配置问题,CDN
CDN配置咨询,CDN
CDN配置问题,CDN
虚拟机无法连接,Virtual Machine running Windows
vm问题,Virtual Machine running Windows
虚拟机创建失败,Virtual Machine running Windows
vm迁移问题,Virtual Machine running Windows
vm访问问题,Virtual Machine running Windows
VM创建问题,Virtual Machine running Windows
虚拟机无法连接,Virtual Machine running Linux
VM迁移问题,Virtual Machine running Windows
vm问题,Virtual Machine running Windows
虚拟机无法连接,Virtual Machine running Windows
渗透性测试申请,Virtual Machine running Windows
vm问题,Virtual Machine running Windows
vm问题,Virtual Machine running Windows
vm咨询,Virtual Machine running Windows
vm访问问题,Virtual Machine running Windows
虚拟机配置咨询,Virtual Machine running Windows
vm问题,Virtual Machine running Linux
虚拟机维护通知,Virtual Machine running Windows
虚拟机无法连接,Virtual Machine running Windows
虚拟机无法连接,Virtual Machine running Linux
存储账户咨询,Storage
VM链接不上,Virtual Machine running Windows
vm设置,Virtual Machine running Linux
虚拟机迁移问题,Virtual Machine running Windows
压力测试,Virtual Machine running Windows
vm问题,Virtual Machine running Windows
备份服务咨询,Recovery Service
powershell问题,Virtual Machine running Windows
无法通过RDP连接到虚拟机,Virtual Machine running Windows
虚拟机无法连接,Virtual Machine running Windows
vm监控咨询,Storage
创建虚拟机问题,Virtual Machine running Windows
vm创建问题,Virtual Machine running Windows
负载均衡咨询,Virtual Machine running Windows
vm启动问题,Virtual Machine running Windows
虚拟机备份问题,Virtual Machine running Linux
vm问题,Virtual Machine running Windows
虚拟机连接问题,Virtual Machine running Linux
虚拟机设置,Virtual Machine running Windows
vm性能咨询,Virtual Machine running Windows
备份服务咨询,Recovery Service
无法远程连接,Virtual Machine running Windows
虚拟机连接不上,Virtual Machine running Windows
虚拟机设置问题,Virtual Machine running Windows
vm无法连接,Virtual Machine running Linux
虚拟机备份问题,Recovery Service
创建虚拟机问题,Virtual Machine running Windows
容器服务问题,Storage
无法创建虚拟机,Virtual Machine running Windows
无法连接虚拟机,Virtual Machine running Windows
vm问题,Virtual Machine running Windows
CDN咨询,CDN
vm咨询,Virtual Machine running Linux
CDN咨询,CDN
虚拟机问题咨询,Virtual Machine running Linux
无法挂载磁盘,Virtual Machine running Windows
VM迁移问题,Virtual Machine running Windows
vm问题,Virtual Machine running Windows
VM连接不上,Virtual Machine running Windows
虚拟机备份问题,Virtual Machine running Linux
磁盘问题,Virtual Machine running Windows
虚拟机重启,Virtual Machine running Windows
虚拟机无法启动,Virtual Machine running Windows
新portal资源组咨询,Virtual Machine running Windows
CDN咨询,CDN
存储问题,Storage
虚拟机配置,Virtual Machine running Windows
虚拟机无法启动,Virtual Machine running Linux
无法删除虚拟机,Virtual Machine running Linux
服务器无法登陆,Virtual Machine running Windows
存储问题,Storage
VM迁移问题,Virtual Machine running Windows
数据迁移,Virtual Machine running Windows
虚拟机重启,Virtual Machine running Windows
虚拟机重启,Virtual Machine running Windows
虚拟机无法连接,Virtual Machine running Windows
流量查询,Virtual Machine running Windows
备份咨询,Virtual Machine running Windows
虚拟机创建失败,Virtual Machine running Windows
vm配置咨询,Virtual Machine running Windows
虚拟机问题,Virtual Machine running Linux
虚拟机重启,Virtual Machine running Windows
申请VM压力测试,Virtual Machine running Linux
创建虚拟机失败,Virtual Machine running Windows
vm问题,Virtual Machine running Windows
虚拟机无法启动,Virtual Machine running Linux
虚拟机规模集,Virtual Machine running Linux
压力测试问题,Virtual Machine running Windows
虚拟机连接不上,Virtual Machine running Windows
虚拟机问题咨询,Virtual Machine running Linux
虚拟机备份咨询,Virtual Machine running Windows
服务器设置,Virtual Machine running Linux
虚拟机维护影响,Virtual Machine running Windows
固定ip,Virtual Machine running Linux
VM无法连接,Virtual Machine running Windows
创建虚拟机问题,Virtual Machine running Windows
虚拟网络的问题,Virtual Machine running Windows
虚拟机无法远程连接,Virtual Machine running Windows
虚拟机维护,Virtual Machine running Windows
vm问题,Virtual Machine running Windows
vm问题,Virtual Machine running Linux
渗透测试,Virtual Machine running Windows
VM自动重启,Virtual Machine running Windows
vm问题,Virtual Machine running Windows
磁盘扩容,Virtual Machine running Windows
vm配置问题,Virtual Machine running Linux
创建虚拟机失败,Virtual Machine running Linux
虚拟机设置,Virtual Machine running Windows
vm连接问题,Virtual Machine running Windows
创建虚拟机问题,Virtual Machine running Windows
存储问题,Storage
虚拟机固定IP,Virtual Machine running Windows
虚拟机咨询,Virtual Machine running Linux
vm磁盘问题,Virtual Machine running Linux
无法新建虚拟机,Virtual Machine running Windows
vm磁盘问题,Virtual Machine running Linux
cdn咨询,CDN
cdn问题,CDN
虚拟机密码忘记,Virtual Machine running Windows
创建VM失败,Virtual Machine running Windows
系统维护确认,Virtual Machine running Linux
虚拟机配置问题,Virtual Machine running Windows
虚拟机安全问题,Virtual Machine running Linux
Azure File 共享存储,Virtual Machine running Linux
压力测试申请,Virtual Machine running Windows
虚拟机无法访问,Virtual Machine running Windows
无法创建CDN,CDN
VM连接问题,Virtual Machine running Windows
无法登陆Azure门户,Management portal
无法连接,Virtual Machine running Linux
vm访问问题,Virtual Machine running Windows
vm无法连接,Virtual Machine running Windows
vm启动问题,Cannot find my subscription
创建VM问题,Virtual Machine running Windows
vm问题,Virtual Machine running Windows
vm访问问题,Virtual Machine running Windows
如何创建虚拟机,Virtual Machine running Windows
虚拟机带宽问题,Virtual Machine running Windows
vm连接问题,Virtual Machine running Windows
部署失败,Virtual Machine running Windows
虚拟机问题咨询,Virtual Machine running Linux
使用托管的磁盘与普通存储帐号的磁盘有什么区别？,Storage
备份咨询,Virtual Machine running Windows
Quota Increase,Compute
Quota Increase,Compute
无法创建东部虚拟机,Compute
quota increase,Compute
一元试用如何升级为标准预付费,Billing and Payment Issues
重启订阅,Re-Enable a Subscription
计费咨询,Azure Offers and Pricing
账单问题,Billing and Payment Issues
计费咨询,Enterprise billing questions
Quota Increase,Compute
Quota Increase,Compute
账单咨询,Enterprise portal enquiry
Quota Increase,Compute
订阅管理咨询,Disable subscription
Quota increase,Compute
账单咨询,Enterprise billing questions
Quota Increase,Compute
账单明细,Enterprise portal enquiry
发票问题,Fapiao related
发票相关,Purchase of Proof
订阅问题,Cannot find my subscription
Quota increase,Compute
账单咨询,Billing and Payment Issues
如何添加新的订阅,How to add new subscription
更改支付方式,Change Payment Method
Quota Increase,Compute
reactive account,Re-Enable a Subscription
虚拟机计费问题,Azure Offers and Pricing
发票相关,Fapiao related
Quota increase,Compute
账单咨询,Billing and Payment Issues
重置密码,Password related
账单查询,Billing and Payment Issues
账单咨询,Billing and Payment Issues
订阅迁移,Switch to Another Offer
Quota increase,Compute
账单详询,Enterprise billing questions
账单问题,Billing and Payment Issues
账单详询,Enterprise billing questions
Data transfer egress相关计费问题,Enterprise billing questions
账单详询,Billing and Payment Issues
订阅迁移,Change Ownership of My Subscription
quota increase,Compute
订阅迁移问题,Re-Enable a Subscription
订阅迁移,Change Ownership of My Subscription
账单问题,Enterprise billing questions
发票问题,Fapiao related
账单咨询,Enterprise billing questions
账单问题,Enterprise billing questions
费用明细,Billing and Payment Issues
quota increase,Other General questions
账单问题,Billing and Payment Issues
cancel order,Invoice PI-Cancel Order
Capacity report,Questions or Other service and subscription limit increases
计费咨询,Billing and Payment Issues
一元试用支付问题,Billing and Payment Issues
支付问题,Billing and Payment Issues
订阅问题,Re-Enable a Subscription
账单咨询,Enterprise billing questions
账单咨询,Billing and Payment Issues
查询账户余额,Enterprise billing questions
无法添加新的订阅,How to add new subscription
Quota increase,Compute
quota increase,Compute
计费咨询,Enterprise billing questions
move Mooncake subscription to a different tenant,Change Ownership of My Subscription
Quota Increase,Compute
Quota Increase,Compute
账单咨询,Billing and Payment Issues
充值指导,Billing and Payment Issues
费用咨询,Azure Offers and Pricing
Quota Increase,Compute
Transfer Ownership,Change Ownership of My Subscription
重置密码,Password related
电汇咨询,Pay by Invoice
Transfer Ownership,Change Ownership of My Subscription
cancel order,Invoice PI-Cancel Order
账单咨询,Billing and Payment Issues
账单详情,Enterprise billing questions
账单问题,Enterprise billing questions
订阅问题,Other General questions
无法在东部创建虚拟机,Other General questions
请求把客户的订阅添加到白名单中,Other General questions
充值未到账,Pay by Invoice
Quota Increase,Compute
无法创建D系列的VM,Compute
订阅咨询,Change Ownership of My Subscription
Azure账单问题,Azure Offers and Pricing
账单疑问,Enterprise billing questions
订阅相关,Cannot find my subscription
账单咨询,Enterprise billing questions
充值问题,Billing and Payment Issues
增加核数,Compute
服务设置,Email Notification
Azure账单问题,Billing and Payment Issues
Quota increase,Compute
大客户添加订阅,How to add new subscription
退款申请,Refund Request
查看账单,Billing and Payment Issues
无法创建东部虚拟机,Other General questions
发票问题,Fapiao related
一元试用支付失败,Billing and Payment Issues
 Quota Increase,Compute
发票相关,Fapiao related
Total Regional Cores,Compute
Quota Increase,Compute
quota increase,HDInsight
重置密码,Password related
Quota Increase,Hosted services
Transfer Ownership,Change Ownership of My Subscription
账单问题,Enterprise billing questions
Transfer ownership,Change Ownership of My Subscription
付款不成功,Fraud related issue
Quota increase,Compute
Transfer Ownership,Change Ownership of My Subscription
申请退款,Refund Request
订阅被禁用,Fraud related issue
账单详情,Enterprise billing questions
充值咨询,Billing and Payment Issues
续费问题,Billing and Payment Issues
退款申请,Refund Request
添加订阅,How to add new subscription
订阅问题,Fraud related issue
quota increase,Compute
无法支付成功,Fraud related issue
Quota Increase,Hosted services
申请退款,Refund Request
付款不成功,Change Payment Method
计费咨询,Azure Offers and Pricing
充值问题,Billing and Payment Issues
账单咨询,Billing and Payment Issues
如何充值,Billing and Payment Issues
Transfer Ownership,Change Ownership of My Subscription
账单问题,Enterprise billing questions
查看账单,Billing and Payment Issues
账单咨询,Pay by Invoice
无法添加订阅,Fraud related issue
账单问题,Billing and Payment Issues
续费问题,Billing and Payment Issues
Quota Increase,Compute
Quota Increase,Compute
Quota Increase,Compute
Quota Increase,Compute
发票系统问题,Fapiao related
Quota Increase,Compute
加速器企业申请资源,Compute
Quota Increase,Compute
订阅被禁用,Fraud related issue
账单详情咨询,Enterprise portal enquiry
余额查询,Pay by Invoice
账单查询,Enterprise billing questions
充值报错,Billing and Payment Issues
1元试用订阅被停,Fraud related issue
续费咨询,Billing and Payment Issues
Quota Increase,Compute
Transfer Ownership,Change Ownership of My Subscription
申请退款,Refund Request
重启订阅,Re-Enable a Subscription
Quota increase,Compute
Quota Increase,Compute
订阅迁移问题,Change Ownership of My Subscription
quota increase,Compute
账单咨询,Enterprise billing questions
账单查询,Other General Questions
Transfer ownership,Change Ownership of My Subscription
账单查询,Billing and Payment Issues
Azure续费问题,Billing and Payment Issues
磁盘计费标准,Enterprise billing questions
账单问题,Enterprise billing questions
Quota increase,Cloud Service per subscription
添加管理员,Co-admin related issue
quota increase,Cloud Service per subscription
支付问题,Billing and Payment Issues
费用问题,Billing and Payment Issues
quota increase,Compute
订阅迁移咨询,Switch to Another Offer
计费咨询,Azure Offers and Pricing
Quota increase,HDInsight
账单咨询,Enterprise billing questions
账单详情,Billing and Payment Issues
账单问题,Enterprise billing questions
订阅迁移,Change Ownership of My Subscription
订阅迁移,Switch to Another Offer
账单详情,Billing and Payment Issues
账单详询,Email Notification
发票问题,Fapiao related
发票相关,Fapiao related
VM创建问题,Other General questions
账单咨询,Enterprise billing questions
Quota Increase,Compute
订阅迁移问题,Switch to Another Offer
订阅迁移咨询,Switch to Another Offer
重置密码,Password related
订阅咨询,Change Ownership of My Subscription
续费问题,Billing and Payment Issues
账单咨询,Billing and Payment Issues
由于PoC测试，需要升级Core,Compute
添加订阅,How to add new subscription
账单疑问,Enterprise billing questions
申请发票问题,Fapiao related
如何添加订阅,How to add new subscription
