question,answer,category,source
世纪互联将如何使用我存储在 Azure 中的信息？,"世纪互联仅将您存储在 Azure 中的客户数据用于为您提供 Azure 服务。这些服务可能包括为防止、检测或修复影响 Azure 运行的问题而进行故障排除 ，以及改进涉及检测和抵御用户受到的新兴且不断演变的威胁（如恶意软件或垃圾邮件）的功能。

根据世纪互联的政策，除了为您提供云生产力服务之外，绝不会出于广告宣传的目的而挖掘或使用您的客户数据。如果您想了解更多我们对您的数据所做的承诺，请访问 Azure 信任中心的<a href=""//www.trustcenter.cn/zh-cn/privacy/"">隐私</a>及<a href=""//www.trustcenter.cn/zh-cn/resources/FAQ.html"">常见问题</a>页面。",一般问题,https://www.azure.cn/zh-cn/support/faq#q-1-13
我还想要更深入地了解 Azure，除了入门指南，有没有更进一步的学习资料？,"您可以浏览<a href=""//docs.azure.cn/"">文档中心</a>。

这个页面包含链接到以下内容：

在<a href=""//social.msdn.microsoft.com/Forums/zh-CN/home?forum=windowsazurezhchs"">Azure 论坛</a>中发布问题和搜索问题。

在<a href=""//school.azure.cn/"">Azure School</a>中浏览 Azure 相关课程和专家专栏。",一般问题,https://www.azure.cn/zh-cn/support/faq#q-1-14
什么是 1 元试用订阅？,,注册问题,https://www.azure.cn/zh-cn/support/faq#q-2-1
什么是标准预付费订阅？有什么特点？,"标准预付费订阅需要通过预付费方式进行购买。按照用户的实际使用量扣减余额，不支持超额使用，当余额为 0 时服务将被即刻停用，需要充值才能继续使用。标准预付费订阅采用线上支付最低预付充值金额为 1,000 元，采用电汇支付最低预付金额为 5,000 元，有效期为单次充值后 12 个月 。 ",注册问题,https://www.azure.cn/zh-cn/support/faq#q-2-2
我是否可以申请注册多个 1 元试用订阅？,"不可以。为了让更多客户可以体验到 Azure 服务，每位新客户仅有一次享受本优惠的机会，注意同一个身份证、同一个付费账户只能购买一次。

如果您需要多个订阅或者您的 1 元试用订阅已到期，请使用<a href=""/offers/ms-mc-arz-33p/"">标准预付费订阅</a>。",注册问题,https://www.azure.cn/zh-cn/support/faq#q-2-3
我在申请注册 1 元试用订阅时无法通过手机验证该怎么办？,"如果您的手机号码已经进行过 1 元试用订阅的申请并且通过了手机验证，但是您没有完成全部的注册流程而是中途退出了，那么您将可能无法再次使用该手机号码进行申请。如果遇到此类问题，请尝试使用另外的手机号码重新进行验证或者您也可以联系<a href=""/support/contact/"">世纪互联支持团队</a>寻求帮助。",注册问题,https://www.azure.cn/zh-cn/support/faq#q-2-4
我一定要提供身份证资料才能完成注册吗？,是的，为了遵守相关法律法规要求，保证每位订阅用户的账户安全，需要每位注册用户提供个人身份信息进行实名制认证，以便取得安全的 Azure 服务。,注册问题,https://www.azure.cn/zh-cn/support/faq#q-2-5
什么是组织（Organization）、组织 ID（OrganizationID）和账户（Account）？,"一个企业也可以向 Azure AD 注册多个组织，如不同部门注册为不同的组织；

多个企业也可以联合向 Azure AD 注册为一个组织，用于某个合作项目。

当前可供注册的域是 *.partner.onmschina.cn，* 代表用户注册部分，唯一标识用户在 Azure AD 中注册的组织。

如果客户注册的组织域名为 contoso.partner.onmschina.cn，那么可以为组织内的 ABC 创建账号：ABC@contoso.partner.onmschina.cn。",注册问题,https://www.azure.cn/zh-cn/support/faq#q-2-6
我有 Office 365 的账户，可以用这个账户资料进行 Azure 订阅的注册吗？,"可以，针对已经购买了中国 Office 365 产品的用户，如果您想要使用相同账号同时管理 Office 365 与 Azure 的服务，欢迎参考<a href=""https://docs.azure.cn/zh-cn/billing/billing-use-existing-office-365-account-azure-subscription"">通过 Office 365 账号购买 Azure 订阅</a>。",注册问题,https://www.azure.cn/zh-cn/support/faq#q-2-7
创建账户后，没有完成全部注册流程，该如何回到之前创建的账户下完成注册？,"用您之前创建的账户登录<a href=""//portal.azure.cn/"">Azure 门户</a>或<a href=""//account.windowsazure.cn/"">Azure 账户中心</a>，您可能看到两种提示：

1.    看到“您的 XXXX 付款正在等待付款”的黄条提示，点击支付中断的订阅下侧的黄条，继续支付即可

注意：通过银联在线支付，在订单提交后，需在 15 分钟内完成支付，如果超过 15 分钟，可能导致付款不成功，需要再次重新提交订单。

2.    看到 “未找到任何订阅” 或 “看来您还未创建任何订阅” 的提示信息

您可参考<a href=""//docs.azure.cn/zh-cn/articles/azure-operations-guide/commerce/billing/aog-billing-no-subscription-found"">Azure 门户或 Azure 帐户中心“找不到任何订阅”提示</a>获得帮助。",注册问题,https://www.azure.cn/zh-cn/support/faq#q-2-8
注册 Azure账户时，看到“抱歉！1 元人民币的试用订阅/标准预付费服务不可用。您没有资格获得此特定 Promo 产品/服务”是为什么？,"此提示说明您注册 Azure 账户的激活码已经过期，需要重新申请，具体申请流程请您参考<a id=""support_faq_promo"" href=""//docs.azure.cn/zh-cn/billing/billing-sign-up-azure-account-with-1rmb-trial-subscription"">注册 1 元试用订阅</a>。",注册问题,https://www.azure.cn/zh-cn/support/faq#q-2-9
注册 Azure 账户时，到付款阶段，支付信息无法加载成功或提示未收到付款信息？,"出现此问题，有可能因为您的浏览器不支持第三方 Cookie，您可以参考“<a href=""//docs.azure.cn/zh-cn/articles/azure-operations-guide/commerce/billing/aog-billing-sign-in-issues-faq"">Azure 线上注册常见问题</a>”获得更多帮助。",注册问题,https://www.azure.cn/zh-cn/support/faq#q-2-10
申请 1 元试用时，为何我的付费订阅显示成功付款，但是返回 Azure 注册页面时依然告诉我付款失败？,"每位新客户仅有一次享受试用优惠的机会，所以同一个付费账户（包括中国银联和支付宝账户）只能购买一次。如果您使用的付费账户之前已经成功申请并进行过付费，那么此时再次申请并支付 1 元费用时，就可能会出现该问题，即在付费订阅页面显示成功付款，但 Azure 注册页面显示付款失败。

针对以上状况所发生的 1 元交易，退款系统会自动退回该付费账户，具体退款时间将因各家银行和银行卡的作业有所不同。

所以如果您需要多个订阅或者已经试用过 1 元试用订阅，欢迎参考使用<a href=""//www.azure.cn/offers/ms-mc-arz-33p/"">标准预付费订阅</a>。",注册问题,https://www.azure.cn/zh-cn/support/faq#q-2-11
1 元试用订阅的一个月有效期从什么时候开始？,有效期从付费成功开始，有效期为一个月。,注册问题,https://www.azure.cn/zh-cn/support/faq#q-2-12
在使用 1 元试用的一个月有效期内，是否可以转换为标准预付费订阅？如何转换？,"可以。在您 1 元试用订阅的有效期内到订阅到期删除前，您都可以随时将该订阅升级为标准预付费订阅。您可以在<a href=""//account.windowsazure.cn/subscriptions"">Azure 账户中心</a>点击""立即升级""，充值至少人民币 1,000 元到您的帐户即可成为标准预付费订阅，具体步骤请参考<a href=""//docs.azure.cn/zh-cn/billing/billing-upgrade-1rmb-trial"">从 1 元试用订阅升级</a>。",注册问题,https://www.azure.cn/zh-cn/support/faq#q-2-13
我应该如何监控剩余额度及有效期，以避免服务停止造成的不便？,"在使用由世纪互联运营的 Microsoft Azure 服务期间，您预留的联系人邮箱将每周收到剩余金额及有效期的提醒邮件。您也可以随时登录<a href=""//account.windowsazure.cn/subscriptions"">Azure 账户中心</a>查看剩余金额及有效期，建议您根据实际使用量进行评估，预留充足的余额。",注册问题,https://www.azure.cn/zh-cn/support/faq#q-2-14
是否支持电汇支付方式？如何具体操作？,"不支持。1 元试用订阅仅支持支付宝和银联在线支付两种线上付款方式。

支持。标准预付费订阅支持支付宝、银联在线支付和电汇三种支付方式，选择前两种线上支付的最低付款金额为 1,000 元人民币，电汇的最低支付金额为 5,000 元人民币。电汇的详情操作方式请参考<a href=""//docs.azure.cn/zh-cn/billing/billing-pay-for-subscription-via-wire-transfer/"">电汇说明</a>。",注册问题,https://www.azure.cn/zh-cn/support/faq#q-2-15
当我选择电汇方式支付 Azure 订阅账户时，是否可以选择外币进行汇款？,Azure 在中国的服务仅接受人民币为唯一支付币种，不接受其他币种进行支付。,注册问题,https://www.azure.cn/zh-cn/support/faq#q-2-16
若因银行限制无法备注完整的订阅 ID，应该怎么办？,您可以将以下汇款信息发送到 azure_invoice@oe.21vianet.com，以便我们区分汇款来源并及时充值到您的订阅。,计费、订阅和发票,https://www.azure.cn/zh-cn/support/faq#q-3-1
如何将 1 元试用订阅升级为标准预付费订阅或为标准预付费订阅续费充值？  ,"标准预付费订阅支持三种支付方式：支付宝、银联在线支付和电汇，每项支付方式各有最低充值金额规定，若您选择支付宝或银联在线支付等线上汇款方式，在点击“升级”或“重新充值”后，按照提示输入充值的金额（最低充值金额为 1,000 元，最高不可超过 150,000 元），点击“对勾”，页面会跳转到付款的页面，按照提示完成付款；若您选择电汇方式，最低充值金额为 5,000 元。详情操作方式请参考<a href=""//docs.azure.cn/zh-cn/billing/billing-recharge-an-existing-pia-subscription"" id=""support_faq_subscriptions-wire-transfer_billing-recharge-an-existing-pia-subscription"">为标准预付费订阅续费充值</a>。

注意：目前由世纪互联运营的 Microsoft Azure 服务仅接受人民币付款。",计费、订阅和发票,https://www.azure.cn/zh-cn/support/faq#q-3-2
如何下载和分析月度使用量报告？,"线上购买用户（包括 1 元试用订阅和标准预付费订阅）

可以通过平台获取使用量报告，报告中包括月用量汇总与计费金额、以及每个服务的日用量情况。这项操作权限仅限于在线购买订阅的账户管理员，详细操作步骤请参考<a href=""//docs.azure.cn/zh-cn/billing/billing-get-usage-information"" id=""support_faq_subscriptions-wire-transfer_billing-get-usage-information"">线上购买用户下载月度使用量报告</a>。

月度使用量报告是以 Excel 格式展现的，该表格包括 3 个部分：

* 订阅与账期信息

* 各项服务的月度使用量与计费信息

* 各项服务的日用量详情

详细内容请参考<a href=""//docs.azure.cn/zh-cn/billing/billing-understand-your-usage"" id=""support_faq_subscriptions-wire-transfer_billing-understand-your-usage"">看懂月度使用量报告</a>。

企业协议用户

可以登陆<a href=""https://ea.azure.cn/"" id=""support_faq_subscriptions-wire-transfer_ea-azure-protal"">企业门户</a>查看合约中历史使用量和当前剩余金额信息。系统中使用量最多有五天延迟，具体您可以通过下载使用量功能查看明细截至日期。

<a href=""https://ea.azure.cn/"" id=""support_faq_subscriptions-wire-transfer_ea-azure-protal1"">企业门户</a>为客户提供了三种查看方式：每月报告下载，高级报告下载，API 访问密钥。在每月报告和高级报告中，提供了截止到报告中日期为止每个部门，账户和订阅每天消耗的服务内容，服务用量及对应的计费金额，详细操作步骤请参考<a href=""https://docs.azure.cn/zh-cn/billing/billing-get-ea-usage-info"" id=""support_faq_subscriptions-wire-transfer_billing-get-ea-usage-info"">企业协议用户下载使用量报告</a>。

月度使用量报告是以 CSV 格式展示的，该表格提供了每天每个账号及对应的使用信息，包括使用量和对应费用。详细内容请参考<a href=""https://docs.azure.cn/zh-cn/billing/billing-understand-ea-usage-report"" id=""support_faq_subscriptions-wire-transfer_billing-understand-ea-usage-report"">看懂月度使用量报告</a>。

为了使您更好的使用 Azure，助力上云业务，Azure 提供了内容丰富的培训教程，您可以参考<a href=""https://www.azure.cn/video-center/"" id=""support_faq_subscriptions-wire-transfer_video-center"">Azure 视频中心</a>中的标准预付费账单门户培训了解通过账单做数据透视表的具体操作。",计费、订阅和发票,https://www.azure.cn/zh-cn/support/faq#q-3-3
如何查看订阅剩余天数和剩余信用额度？,,计费、订阅和发票,https://www.azure.cn/zh-cn/support/faq#q-3-4
什么情况下我的订阅会被暂停？如何重新激活？,"当您的订阅剩余使用额度为 0 或者使用额度过期后，您的订阅将被暂停，您需要在 15 天内进行充值并将订阅升级为标准预付费订阅方可继续使用该订阅。

当您的订阅剩余使用额度为 0 或者使用额度过期后，您的订阅将被暂停，您需要在 90 天内进行充值以恢复订阅。

* 当超额或年度订单未支付，您的订阅将被暂停。在您支付完成后，商务团队将帮您手动重启合约及订阅。

* 当您的订阅被账户所有者意外取消了，您需要联系<a href=""/support/contact/"">世纪互联支持人员</a>帮您手动重启。

对于其他原因导致订阅被暂停，请联系<a href=""/support/contact/"">世纪互联支持团队</a>获取帮助。",计费、订阅和发票,https://www.azure.cn/zh-cn/support/faq#q-3-5
我的订阅被暂停后对我会有什么影响？我的数据会被保留吗？我是否可以取出订阅内的数据？,"当您的订阅被暂停后，会导致订阅中已部署的资源服务被暂停，临时存储中资源将被释放。您仍然可以登陆门户网站查看资源，但无法进行编辑操作。

您订阅内的数据会被保留，但是此时无法备份数据，需要重新激活订阅后方可将数据导出，如果未在指定期间内充值续费，您的订阅及订阅内的所有数据将被自动删除。

* 1 元试用订阅被暂停后，您的数据将被保留 15 天，请在 15 天内进行充值，即可恢复订阅。

* 标准预付费订阅被暂停后，您的数据将被保留 90 天，请在 90 天内进行充值，即可恢复订阅。

*  企业协议订阅被暂停后，您的数据将被保留 90 天，请在 90 天内将超额或年度订单支付，您可以联系<a href=""/support/contact/"">世纪互联客户支持</a>帮您重启订阅。",计费、订阅和发票,https://www.azure.cn/zh-cn/support/faq#q-3-6
我的订阅有哪些支付方式？选择后我还可以更改吗？,"* 新购买：支持支付宝和银联在线付款两种线上付款方式，且充值订单失效前不能更换支付方式。

* 立即升级：支持支付宝、银联在线付款和电汇三种线上付款方式，且充值订单失效前不能更换支付方式。

* 新购买：支持支付宝、银联在线付款和电汇三种线上付款方式，且充值订单失效前不能更换支付方式。

* 重新交费：支持支付宝、银联在线付款和电汇三种线上付款方式，且可以随时修改支付方式。",计费、订阅和发票,https://www.azure.cn/zh-cn/support/faq#q-3-7
购买标准预付费账户时，在使用支付宝或银联在线支付的过程中中断，该如何处理？,"登录<a id=""pay-interrupt-account"" href=""//account.windowsazure.cn/"" target=""_blank"">Azure 账户中心</a>，点击支付中断的订阅下侧的黄条，继续支付即可。

注意：通过银联在线支付，在订单提交后，需在 15 分钟内完成支付，如果超过 15 分钟，可能导致付款不成功，需要再次重新提交订单。",计费、订阅和发票,https://www.azure.cn/zh-cn/support/faq#q-3-8
我该如何获取未支付的订单？该订单有效期为多久？,"支付宝订单有效期为 3 天，如果支付过程中遇到问题没有及时完成支付，3 天内您都可以在<a href=""//account.windowsazure.cn/Subscriptions"">Azure 账户中心</a>中看到相关提示“你的￥1,000.00 付款正在等待完成。如果已经付款，请稍后进行核对。在 XX/XX/XXXX 之前单击此处完成付款。” 点击该提示即可继续支付。支付宝订单无法手动取消，需等待 3 天之后系统自动取消。

银联在线订单一般 1 个小时内失效，订单失效之后，Azure 账户中心会有提示“重新对您的订购支付失败。请单击此处重试。”，此时您可以重新进行交费并更改支付方式。

电汇订单有效期为 7 个工作日，超过 7 个工作日未完成付款，电汇订单会被后台取消。如需取消电汇订单，需要联系世纪互联服务热线  400-089-0365。

电汇操作步骤和汇款信息，请参考<a href=""/pricing/billing/azure-wire-transfer-overview"">电汇说明</a>。",计费、订阅和发票,https://www.azure.cn/zh-cn/support/faq#q-3-9
我在交费时账号/金额输错了，没有完成支付，该怎么办？,,计费、订阅和发票,https://www.azure.cn/zh-cn/support/faq#q-3-10
通过月度使用量报告是否可以细化到每一项我创建的 Azure 服务（例如单台虚拟机）的费用？,"不可以，月度使用量报告中的计费信息会根据 Azure 服务以及相关类型和规格合并统计，所以您没办法精确查询到每一项 Azure 服务的单独费用。

以虚拟机为例：您在同一区域创建了多台同样大小、同样型号的虚拟机，那么在月度使用量报告中该计费信息只会显示为一行，通过“已使用”一栏累计您多台虚拟机的使用量进行计费。",计费、订阅和发票,https://www.azure.cn/zh-cn/support/faq#q-3-11
什么是发票？申请发票的具体流程是什么？发票种类有哪些？发票抬头有限制吗？,"发票（Fapiao）是中国税务局发布的正式发票（由卖方提供），用于购买国内的商品或服务。 中国政府使用发票来追踪纳税。

1. 登录<a href=""//account.windowsazure.cn/"">Azure 账户中心</a>

2. 点击您需要申请发票的订阅

3. 点击“支付历史记录”

4. 点击“管理发票”即可注册申请。申请流程请详见：<a href=""https://docs.azure.cn/zh-cn/billing/billing-get-invoice"">申请中国税务发票</a>。

Azure 在中国的服务可提供中国税务发票，包括增值税专用发票和增值税普通发票两种选择。

关于发票抬头，企业客户需按真实情况填写方可。",计费、订阅和发票,https://www.azure.cn/zh-cn/support/faq#q-3-12
申请发票后如何获取发票？是否需要支付额外费用？,"发票可以通过快递寄送或上门自取。快递可选韵达和顺丰（只支持到付），由世纪互联上海蓝云网路科技有限公司打印并快递。

除去以上选择顺丰时产生的到付运费，您无需支付其他额外的费用。",计费、订阅和发票,https://www.azure.cn/zh-cn/support/faq#q-3-13
何时可以申请发票？ ,付款成功三个工作日可以申请发票。如有特殊需求，请联系世纪互联客户服务中心，电话：86-10-84563652 或 400-089-0365。,计费、订阅和发票,https://www.azure.cn/zh-cn/support/faq#q-3-14
税率是多少？,依据国家规定，世纪互联运营的 Azure 云计算服务的税率为 6%。,计费、订阅和发票,https://www.azure.cn/zh-cn/support/faq#q-3-15
如何注册发票界面账号？成功激活账号后无法申请开票怎么办？,"进入<a id=""support_faq_login"" href=""http://fapiao.cloud.21vianet.com/EmailAcount/LoginView"">发票申请界面</a>后，需要点击页面右上角的[注册账号]进行账号的注册，在注册信息页面按自己购买的产品选择注册 Azure 的账号。

若成功激活账号后无法申请开票，请联系世纪互联客户服务中心，电话：86-10-84563652 或 400-089-0365。",计费、订阅和发票,https://www.azure.cn/zh-cn/support/faq#q-3-16
我在申请发票时选择了上门自取，自取地点在哪里？我还可以改成快递寄送吗？,"发票自取地点为世纪互联上海分公司，地址为上海市浦东新区科苑路 88 号德国中心 3 号楼 657，联系人为朱琴琴 021-28986102。

您可以随时登录<a href=""http://fapiao.cloud.21vianet.com/EmailAcount/LoginView"">发票管理系统</a>，修改发票的派送方式，目前只支持韵达和顺丰（只能到付）快递。",计费、订阅和发票,https://www.azure.cn/zh-cn/support/faq#q-3-17
我该如何修改发票管理系统中的注册邮箱？,"您可以在<a href=""http://fapiao.cloud.21vianet.com/"">发票管理系统</a>中，点击右上角的邮箱，在下拉菜单中选择修改邮箱，输入当前密码、新邮箱并确认后，点击修改即可。修改成功后会分别向您的两个邮箱发送邮件进行通知。",计费、订阅和发票,https://www.azure.cn/zh-cn/support/faq#q-3-18
我注册发票管理系统账号时无法收到激活邮件该怎么办？,,计费、订阅和发票,https://www.azure.cn/zh-cn/support/faq#q-3-19
我是否可以更改订阅名称？,"可以。通过<a href=""//account.windowsazure.cn/"">Azure 账户中心</a>或<a href=""//portal.azure.cn/"">Azure 门户</a>您可以进行订阅重命名的操作，具体步骤请参考<a href=""//docs.azure.cn/zh-cn/billing/billing-how-to-change-azure-account-profile"" id=""support_faq_how-to-change-azure-account-profile"">变更订阅名称与账户联系方式链接</a>。",计费、订阅和发票,https://www.azure.cn/zh-cn/support/faq#q-3-20
我可以更改服务管理员吗？,"可以。您需要先在<a href=""//portal.azure.cn/"">Azure 门户</a>中新建用户信息，然后通过<a href=""//account.windowsazure.cn/"">Azure 账户中心</a>更改服务管理员角色，具体步骤请参考<a href=""//docs.azure.cn/zh-cn/articles/azure-operations-guide/commerce/subscription-management/aog-commerce-subscription-management-billing-portal-guidance#%E8%AE%BE%E7%BD%AE%E6%9C%8D%E5%8A%A1%E7%AE%A1%E7%90%86%E5%91%98"">如何设置服务管理员</a>。",计费、订阅和发票,https://www.azure.cn/zh-cn/support/faq#q-3-21
如何创建订阅的用户角色及赋予用户不同的管理权限？,"Azure 账户下有三种适用于所有资源的角色，包括所有者、参与者以及读者。作为账户管理者，您可以结合您公司的业务需求为您公司的业务人员分配不同的角色，具操作步骤您可以参考：<a href=""//docs.azure.cn/zh-cn/billing/billing-add-change-azure-subscription-administrator#add-azure-administrator-role"">添加或更改管理订阅或服务的 Azure 管理员角色</a>。",计费、订阅和发票,https://www.azure.cn/zh-cn/support/faq#q-3-22
Azure 账户有几种角色？,,计费、订阅和发票,https://www.azure.cn/zh-cn/support/faq#q-3-23
我可以修改账户管理员的个人资料吗？,"可以。您可以通过<a href=""//account.windowsazure.cn/"">Azure 账户中心</a>修改账户管理员的个人资料，详细步骤请参考<a href=""//docs.azure.cn/zh-cn/billing/billing-how-to-change-azure-account-profile"">变更订阅名称与账户联系方式</a>。",计费、订阅和发票,https://www.azure.cn/zh-cn/support/faq#q-3-24
如何查看 Azure 当前配额及使用情况？,"<a href=""//portal.azure.cn/"">Azure 门户</a>、<a href=""/azure-cloud-assistant/"">云助手 APP</a> 和 PowerShell 都提供了 Azure 配额资源的使用情况，详细步骤请参考<a href=""//docs.azure.cn/zh-cn/articles/azure-operations-guide/commerce/quota-increase/aog-commerce-quota-increase-process#%E6%B3%A8%E6%84%8F%E4%BA%8B%E9%A1%B9"">如何查看 Azure 配额资源</a>。",计费、订阅和发票,https://www.azure.cn/zh-cn/support/faq#q-3-25
我是否可以申请 Azure 配额资源？如何申请？,"可以。您需要联系<a href=""/support/contact/"">世纪互联支持团队</a>提交服务请求。详细内容请参考<a href=""//docs.azure.cn/zh-cn/articles/azure-operations-guide/commerce/quota-increase/aog-commerce-quota-increase-process"">如何申请 Azure 配额资源</a>。

注意：如果您的配额需求较大，时间较急，我们建议您提前至少三个工作日申请。",计费、订阅和发票,https://www.azure.cn/zh-cn/support/faq#q-3-26
维护时段期间，单个 IaaS 虚拟机或 PaaS 角色实例要保持多长时间的脱机状态？,,执行与维护,https://www.azure.cn/zh-cn/support/faq#q-4-1
如果我的虚拟机受影响时间相对较短，我是否可以自定维护时间点？,,执行与维护,https://www.azure.cn/zh-cn/support/faq#q-4-2
 我能否选择让我的虚拟机退出此维护？  ,,执行与维护,https://www.azure.cn/zh-cn/support/faq#q-4-3
我应当采取何种措施来降低此维护对我的运行中应用程序造成的影响和风险？ ,,执行与维护,https://www.azure.cn/zh-cn/support/faq#q-4-4
为何无法从本地 Ping 通 Azure VM 的 VIP IP 地址和端口？,"通过 VIP 地址访问虚拟机时网络通讯需要通过 Azure Load Balancer 。 Azure Load Balancer 目前不开放 ICMP 协议。Ping 属于 ICMP 协议组，因此无法通过 Load Balancer。 客户需要通过 VIP 检验虚拟机连接性的时候，可以通过 TCP 协议相关工具来操作。更多详细信息，请参阅<a href=""//docs.azure.cn/zh-cn/articles/azure-operations-guide/virtual-network/aog-virtual-network-tcp-psping-paping-connectivity"">使用 PsPing & PaPing 进行 TCP 端口连通性测试</a>。",执行与维护,https://www.azure.cn/zh-cn/support/faq#q-4-5
我是否可以在 Azure Virtual Machine 中再创建虚拟机呢？,目前，还不可以。Azure 虚拟机的 Dv3 和 Ev3 系列是支持嵌套虚拟化的，但是目前中国区 Azure 暂时还不支持创建该系列虚拟机。,执行与维护,https://www.azure.cn/zh-cn/support/faq#q-4-6
